Channel,MPH Code,PH Gender,Count of Policy/COI Number,Average of PH Entry Age,Average of Policy Term_Month,Sum of Premium,Sum of Sum Assured,Sum of Claim Amount,Count of Claims
FINHBK0004,SHUBMPH243,Male,134,39.3,11.78,28399.05,3546000,,
SVOJBK0001,MESVMPH070,Male,198,44.34,11.85,199410,39600000,,
CORPBK0009,BHAVMPH285,Female,7,33.14,12,2625,350000,,
CORPBK0009,BHAVMPH285,Male,14,35.14,12,5950,800000,,
CORPBK0009,NOOTMPH242,Female,16,36.31,12,8675,1200000,,
CORPBK0009,NOOTMPH242,Male,236,33.38,12,132675,18450000,,
CORPBK0009,SHRIMPH250,Female,455,40.46,12,252588,34950000,,
CORPBK0009,SHRIMPH250,Male,763,38.95,12,524097,74250000,,
CREDDS0001,AKKIMPH254,Female,2,48.5,12,6126,250000,,
CREDDS0001,SEVEMPH136,Female,9,34.67,12,3399.51,2023512,,
CREDDS0001,SEVEMPH136,Male,51,31.96,12,36324.25,21621596,,
FINHBK0004,NPPAMPH257,Female,18,33.56,12,3024,525000,,
FINHBK0004,NPPAMPH257,Male,2,29,12,460.8,80000,,
FINHBK0004,SHRIMPH259,Female,26,38.31,12,6867,1260000,,
SVOJBK0001,EEWMMPH139,Female,20,37.9,12,2790,620000,,
SVOJBK0001,EEWMMPH139,Male,14,38.64,12,1980,440000,,
SVOJBK0001,ERAAMPH150,Female,63,45.02,12,164405.07,24013840,,
SVOJBK0001,ERAAMPH150,Male,88,41.63,12,187462.51,35311976,,
SVOJBK0001,FATHMPH267,Female,120,44.65,12,55680,12000000,,
SVOJBK0001,GEOFMPH105,Female,360,41.49,12,61380,11160000,,
SVOJBK0001,GFCWMPH055,Female,240,38.78,12,20208.75,4755000,,
SVOJBK0001,GFCWMPH055,Male,213,39.25,12,17892.5,4210000,,
SVOJBK0001,HFRIMPH133,Female,2208,40.07,12,274969.28,78562435,,
SVOJBK0001,HFRIMPH133,Male,2197,39.44,12,274643.94,78469483,,
SVOJBK0001,HKANMPH050,Female,5,38,12,1092.5,230000,,
SVOJBK0001,HKANMPH050,Male,54,34.52,12,13414,2824000,,
SVOJBK0001,HMCMMPH081,Female,4007,37.73,12,593036.1,160280028,40000,1
SVOJBK0001,HMCMMPH081,Male,2805,38.99,12,415140.1,112200028,80000,2
SVOJBK0001,HNMFMPH033,Female,6,45.67,12,10159.4,296091,,
SVOJBK0001,HNMFMPH033,Male,8,36.5,12,8198.8,535105,,
SVOJBK0001,HSURMPH027,Female,169,40.17,12,17774.4,5520000,,
SVOJBK0001,HSURMPH027,Male,115,40.65,12,12316.5,3825000,30000,1
SVOJBK0001,HWOMMPH043,Female,20,39.6,12,4200,1050000,,
SVOJBK0001,MULTMPH090,Female,1480,42.01,12,210273,45220000,,
SVOJBK0001,MULTMPH090,Male,3,43.33,12,2046,440000,,
SVOJBK0001,MULTMPH144,Female,713,41.7,12,103838.5,21410000,,
SVOJBK0001,MULTMPH144,Male,1,53,12,145.5,30000,,
SVOJBK0001,MULTMPH145,Female,1406,41.55,12,199206.5,41073500,,
SVOJBK0001,MULTMPH145,Male,23,42.04,12,3244.66,669000,,
SVOJBK0001,MUZIMPH093,Female,12,36.92,12,2280,600000,,
SVOJBK0001,NMFIMPH079,Female,84,42.51,12,144554.24,20570587,,
SVOJBK0001,NMFIMPH079,Male,270,39.7,12,327157.48,60702240,200000,1
SVOJBK0001,SUPAMPH284,Female,20,34.5,12,2100,500000,,
SVOJBK0001,SUPAMPH284,Male,26,40.88,12,3389.4,807000,,
SVOJBK0001,THRIMPH143,Female,9,46.56,12,2860,520000,,
SVOJBK0001,UJJNMPH045,Female,56,40.29,12,12682.5,2850000,,
SVOJBK0001,VIRUMPH016,Female,1091,38.48,12,86045.22,18464598,,
SVOJBK0001,VIRUMPH016,Male,936,39.45,12,77569.11,16645698,138300,6
SVOJBK0001,VIRUMPH032,Female,3029,37.91,12,539467.25,161035000,125000,2
SVOJBK0001,VIRUMPH032,Male,2699,38.76,12,479971.25,143275000,160000,4
SVOJBK0001,VIVAMPH004,Female,8374,39.29,12,1317635.55,342243000,810000,14
SVOJBK0001,VIVAMPH004,Male,6966,40.41,12,1098455.05,285313000,1170000,24
SVOJBK0001,LENDMPH101,Female,238,39.21,12.03,38465.5,8155000,200000,1
SVOJBK0001,LENDMPH101,Male,230,40.65,12.03,36444.5,7725000,,
SVOJBK0001,SOUTMPH097,Female,5373,40.05,12.16,631612.5,164850000,,
SVOJBK0001,SOUTMPH097,Male,2390,40.68,12.16,282506.25,73665000,,
SVOJBK0001,HKRIMPH080,Female,147,42.56,12.16,68153.6,20898000,,
SVOJBK0001,CHERMPH148,Male,72,37.93,12.17,29919.4,6016000,,
SVOJBK0001,HGUJMPH201,Male,134,37.69,12.18,44607.69,11436411,40000,1
SVOJBK0001,CHERMPH148,Female,175,41.71,12.34,37558.5,7495000,,
SVOJBK0001,HZIGMPH026,Female,5,42.6,12.4,940.9,290000,,
SVOJBK0001,HGUJMPH201,Female,160,40.13,12.45,27510.61,6770609,,
CREDDS0001,SHRIMPH058,Male,39,35.18,12.46,30187.73,5402013,,
FINHBK0004,SHRIMPH259,Male,11,33.73,12.55,3984.43,683000,,
SVOJBK0001,DAYAMPH012,Male,596,39.3,12.58,56050.75,11085000,65000,3
SVOJBK0001,DAYAMPH012,Female,757,39.66,12.59,71941.25,14210000,15000,1
RMINBK0008,MANGMPH088,Female,17,34.76,12.76,5230.12,560183,,
CORPBK0009,MALUMPH269,Male,42,37.4,12.86,51155,7300000,,
CORPBK0009,MALUMPH269,Female,17,41.18,12.94,11537.5,2150000,,
SVOJBK0001,HKRIMPH080,Male,97,45.29,13.11,59132.8,16879000,,
SVOJBK0001,ARSFMPH071,Female,18,41.28,13.22,3570.4,575000,,
SVOJBK0001,UJJNMPH045,Male,52,37.96,13.38,17915.5,3150000,,
SVOJBK0001,HWESMPH199,Female,25,36.24,13.44,7170,1200000,,
SVOJBK0001,AARPMPH271,Female,49,40.29,13.45,7853.15,1450000,,
SVOJBK0001,AGARMPH022,Male,178,40.7,13.55,47268,10600000,355000,4
SVOJBK0001,ANUSMPH287,Male,24,36.83,13.71,13415.76,2525877,,
SVOJBK0001,AGARMPH022,Female,209,40.13,13.72,57642,12800000,,
SVOJBK0001,SPWOMPH129,Male,23,38.78,14.09,3774,620000,,
FINHBK0004,SHUBMPH243,Female,142,40.08,14.53,31331.45,3570000,,
SVOJBK0001,SPWOMPH129,Female,27,33.89,14.67,4386,700000,,
